type,N,param,ms
s1,2,1000,0.1235
s1,2,3000,0.3528
s1,2,10000,1.2134
s1,2,30000,3.5309
s1,2,100000,11.7717
s1,2,300000,35.2417
s1,2,1000000,117.0344
s1,2,3000000,356.0486
s1,2,10000000,1178.5507
s2_bsgs,2,100000,0.2068
s2_fft,2,100000,0.3278
s2_bsgs,2,300000,0.4331
s2_fft,2,300000,0.7111
s2_bsgs,2,1000000,1.2334
s2_fft,2,1000000,1.7178
s2_bsgs,2,3000000,3.5785
s2_fft,2,3000000,5.2597
s2_bsgs,2,10000000,11.8603
s2_fft,2,10000000,20.3755
s2_bsgs,2,30000000,35.3276
s2_fft,2,30000000,13.2117
s2_bsgs,2,100000000,114.6216
s2_fft,2,100000000,30.6903
s2_bsgs,2,300000000,349.2216
s2_fft,2,300000000,89.1776
s1,4,1000,0.2276
s1,4,3000,0.6628
s1,4,10000,2.2360
s1,4,30000,6.6650
s1,4,100000,22.0519
s1,4,300000,66.9043
s1,4,1000000,223.9968
s1,4,3000000,668.2532
s1,4,10000000,2209.9067
s2_bsgs,4,100000,0.5419
s2_fft,4,100000,1.0741
s2_bsgs,4,300000,1.1997
s2_fft,4,300000,1.1870
s2_bsgs,4,1000000,3.5057
s2_fft,4,1000000,2.9313
s2_bsgs,4,3000000,10.2840
s2_fft,4,3000000,9.2441
s2_bsgs,4,10000000,33.2318
s2_fft,4,10000000,32.3313
s2_bsgs,4,30000000,98.9385
s2_fft,4,30000000,21.8754
s2_bsgs,4,100000000,330.4076
s2_fft,4,100000000,53.3858
s2_bsgs,4,300000000,998.0827
s2_fft,4,300000000,151.1554
